RA;Fase;INDE_ATUAL;Pedra Atual;Pedra Passada;Turma;Nome Anonimizado;Data de Nasc;Idade;Gênero;Ano ingresso;Instituição de ensino;INDE_ANTERIOR;Cg;Cf;Ct;Nº Av;Avaliador1;Rec Av1;Avaliador2;Rec Av2;IAA;IEG;IPS;IPP;Rec Psicologia;IDA;Mat;Por;Ing;Indicado;Atingiu PV;IPV;IAN;Fase Ideal;Defasagem;Destaque IEG;Destaque IDA;Destaque IPV;ANO
RA-13;7;6.902;Ágata;Ametista;A;Aluno-13;2004;18;Menino;2016;Escola Pública;;524;10;4;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;7.9;7.4;7.5;8.3;Sem limitações;4.7;3.5;5.5;5.2;Sim;Não;8.1;5;8;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-14;7;6.793;Ágata;;D;Aluno-14;2001;21;Menino;2022;Escola Pública;;558;12;7;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;7.9;8.3;7.5;7.4;Não atendido;4.0;8.0;0.0;;Sim;Não;7.8;5;8;-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-15;7;7.783;Ametista;;D;Aluno-15;2004;18;Menino;2022;Escola Pública;;207;3;2;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;8.8;10.0;7.5;7.3;Não atendido;7.3;8.0;6.5;;Sim;Não;7.3;5;8;-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-16;7;6.112;Ágata;;D;Aluno-16;2003;19;Menino;2022;Escola Pública;;706;14;8;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;7.9;8.3;5.0;7.0;Requer avaliação;3.5;7.0;0.0;;Sim;Não;6.3;5;8;-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-17;7;8.068;Topázio;;D;Aluno-17;2002;20;Menino;2022;Escola Pública;;125;2;1;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;8.8;10.0;7.5;7.2;Não atendido;7.8;9.0;6.5;;Sim;Não;8.3;5;8;-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-18;7;7.226;Ametista;;D;Aluno-18;2003;19;Menino;2022;Escola Pública;;418;7;5;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;6.3;8.7;6.3;5.5;Requer avaliação;9.0;9.0;9.0;;Sim;Não;6.9;5;8;-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-19;7;7.665;Ametista;;D;Aluno-19;2003;19;Menina;2022;Escola Pública;;248;4;3;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;7.9;9.5;7.5;7.2;Sem limitações;8.0;7.0;9.0;;Sim;Não;7.0;5;8;-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-20;7;7.535;Ametista;;D;Aluno-20;2003;19;Menina;2022;Escola Pública;;296;5;4;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;7.1;10.0;6.3;7.0;Não atendido;7.8;9.0;6.5;;Sim;Não;7.2;5;8;-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-21;7;6.945;Ágata;;D;Aluno-21;2004;18;Menino;2022;Escola Pública;;508;9;6;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;9.6;9.2;7.5;6.9;Não atendido;3.8;7.0;0.5;;Sim;Não;7.2;5;8;-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-22;6;7.474;Ametista;Ágata;A;Aluno-22;2005;17;Menina;2019;Rede Decisão;;327;10;10;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;8.3;7.4;8.1;7.5;Sem limitações;6.7;9.0;3.1;7.8;Não;Sim;8.8;5;;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-23;6;7.677;Ametista;Ametista;A;Aluno-23;2005;17;Menino;2021;Escola Pública;;243;8;8;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;8.3;8.2;8.1;8.5;Sem limitações;6.7;7.2;4.7;8.2;Sim;Sim;8.6;5;;-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-24;6;8.087;Topázio;Topázio;A;Aluno-24;2005;17;Menina;2021;Rede Decisão;;119;5;5;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;9.2;7.9;6.9;8.5;Requer avaliação;8.6;10.0;6.3;9.7;Não;Sim;9.1;5;;-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-25;6;7.979;Ametista;Topázio;A;Aluno-25;2005;17;Menina;2021;Escola Pública;;147;6;6;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;8.3;8.3;8.8;8.0;Sem limitações;6.9;9.2;3.8;7.7;Sim;Sim;9.7;5;;-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-26;6;8.677;Topázio;;A;Aluno-26;2005;17;Menino;2022;Escola Pública;;17;3;3;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;9.6;8.8;10.0;8.6;Sem limitações;8.0;9.5;4.4;10.0;Sim;Sim;10.0;5;;-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-27;6;7.124;Ametista;Ametista;A;Aluno-27;2005;17;Menino;2016;Rede Decisão;;449;12;12;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;0.0;7.6;8.1;8.7;Sem limitações;8.0;7.7;6.3;10.0;Não;Sim;9.1;5;;-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-28;6;6.242;Ágata;Ametista;A;Aluno-28;2005;17;Menina;2019;Escola Pública;;698;14;14;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;7.9;6.1;7.5;7.2;Requer avaliação;5.0;8.2;1.5;5.3;Não;Não;6.3;5;;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-29;6;4.985;Quartzo;;A;Aluno-29;2005;17;Menino;2022;Escola Pública;;821;16;16;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase + Bolsa;0.0;4.0;8.8;5.4;Requer avaliação;3.7;6.3;1.1;3.8;Sim;Não;7.6;5;;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-30;6;7.605;Ametista;Ametista;A;Aluno-30;2006;16;Menina;2021;Escola Pública;;270;9;9;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;8.8;6.4;7.5;7.3;Sem limitações;7.5;8.5;4.4;9.7;Não;Não;7.3;10;;0;Melhorar: Melhorar a sua entrega de lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-31;6;8.843;Topázio;Topázio;A;Aluno-31;2005;17;Menina;2019;Rede Decisão;;9;2;2;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;10.0;9.5;9.4;9.0;Sem limitações;8.0;9.0;5.7;9.3;Não;Sim;10.0;5;;-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-32;6;7.37;Ametista;Ametista;A;Aluno-32;2006;16;Menina;2018;Rede Decisão;;370;11;11;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;8.8;5.2;8.8;7.6;Sem limitações;6.1;5.7;3.6;8.9;Não;Não;7.9;10;;0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-33;6;4.952;Quartzo;Ametista;A;Aluno-33;2005;17;Menina;2020;Escola Pública;;824;17;17;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;0.0;4.6;7.5;6.2;Sem limitações;4.8;9.0;1.6;3.7;Não;Não;6.0;5;;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-34;6;6.259;Ágata;Ametista;A;Aluno-34;2005;17;Menino;2016;Rede Decisão;;692;13;13;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;9.6;4.8;8.1;8.1;Sem limitações;3.8;4.7;4.0;2.8;Não;Não;7.3;5;;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-35;6;8.965;Topázio;Topázio;A;Aluno-35;2005;17;Menina;2019;Rede Decisão;;5;1;1;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;10.0;9.6;9.4;9.0;Sem limitações;8.5;9.0;7.1;9.3;Não;Sim;10.0;5;;-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-36;6;7.876;Ametista;Ametista;A;Aluno-36;2005;17;Menina;2019;Rede Decisão;;177;7;7;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;9.2;9.0;6.9;8.2;Sem limitações;6.8;8.5;4.3;7.8;Não;Sim;8.9;5;;-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-37;6;4.95;Quartzo;Ágata;A;Aluno-37;2005;17;Menina;2019;Rede Decisão;;825;18;18;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;0.0;5.4;5.0;6.5;Sem limitações;5.9;2.3;5.3;10.0;Não;Não;5.2;5;;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-38;6;8.523;Topázio;Ametista;A;Aluno-38;2005;17;Menina;2017;Rede Decisão;;31;4;4;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;9.2;8.9;7.5;8.9;Não indicado;8.6;9.0;7.0;9.7;Não;Sim;9.8;5;;-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-39;6;6.033;Ágata;Ametista;A;Aluno-39;2006;16;Menina;2017;Rede Decisão;;722;15;15;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;0.0;4.8;6.9;7.8;Requer avaliação;6.9;7.7;5.1;7.8;Não;Não;6.1;10;;0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-40;5;7.203;Ametista;Ágata;A;Aluno-40;2006;16;Menina;2016;Rede Decisão;;429;27;3;3.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;7.9;7.8;7.5;6.9;Sem limitações;6.8;4.7;7.3;8.4;Não;Não;7.8;5;;-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-41;5;5.581;Quartzo;Ágata;A;Aluno-41;2005;17;Menino;2018;Escola Pública;;777;51;9;3.0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;9.2;6.1;5.0;4.5;Requer avaliação;5.6;6.3;2.5;8.0;Não;Não;4.4;5;;-2;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-42;5;6.72;Ágata;Ametista;A;Aluno-42;2007;15;Menino;2019;Rede Decisão;;582;33;5;3.0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;8.3;7.9;5.6;5.7;Requer avaliação;4.8;3.7;4.5;6.2;Não;Não;6.1;10;;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-43;5;5.486;Quartzo;Ágata;A;Aluno-43;2006;16;Menina;2019;Escola Pública;;791;54;11;3.0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;6.3;6.5;5.6;4.4;Requer avaliação;4.3;4.0;5.8;3.2;Não;Não;6.0;5;;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-44;5;5.542;Quartzo;Ametista;A;Aluno-44;2005;17;Menina;2021;Escola Pública;;785;52;10;3.0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;5.0;5.9;7.5;5.5;Sem limitações;3.0;2.3;3.5;3.2;Sim;Não;7.3;5;;-2;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-45;5;7.591;Ametista;Topázio;A;Aluno-45;2007;15;Menina;2019;Rede Decisão;;277;17;2;3.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;7.9;8.9;5.6;6.2;Requer avaliação;6.8;6.3;5.2;8.8;Não;Não;7.4;10;;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-46;5;6.048;Ágata;;A;Aluno-46;2005;17;Menina;2022;Escola Pública;;719;46;7;3.0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;8.8;8.4;6.3;5.2;Sem limitações;2.1;2.8;2.8;0.7;Não;Não;7.1;5;;-2;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-47;5;5.677;Quartzo;;A;Aluno-47;2005;17;Menina;2022;Escola Pública;;762;49;8;3.0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;7.9;6.3;7.5;5.5;Sem limitações;2.1;2.5;2.2;1.5;Não;Não;7.0;5;;-2;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-48;5;8.006;Ametista;Ametista;A;Aluno-48;2007;15;Menina;2017;Rede Decisão;;140;10;1;3.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;6.7;8.4;7.5;5.9;Sem limitações;8.1;6.7;8.0;9.5;Não;Sim;8.5;10;;0;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-49;5;6.304;Ágata;;A;Aluno-49;2005;17;Menina;2022;Escola Pública;;687;42;6;3.0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;7.5;7.4;7.5;6.4;Sem limitações;3.9;1.5;4.2;6.2;Não;Não;7.0;5;;-2;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-50;5;7.138;Ametista;;A;Aluno-50;2004;18;Menina;2022;Escola Pública;;445;28;4;3.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;7.5;8.4;7.5;6.4;Sem limitações;7.8;6.5;7.3;9.7;Não;Não;7.5;2;8;-3;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-51;5;6.488;Ágata;;B;Aluno-51;2005;17;Menina;2022;Escola Pública;;645;39;13;3.0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;8.8;7.6;7.5;5.4;Não atendido;5.0;4.5;4.5;6.0;Não;Não;6.5;5;;-2;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-52;5;7.861;Ametista;Ametista;B;Aluno-52;2009;13;Menino;2018;Rede Decisão;;183;12;5;3.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;9.6;8.9;7.5;6.3;Não atendido;6.2;3.3;6.3;8.8;Não;Não;7.5;10;;2;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-53;5;6.725;Ágata;;B;Aluno-53;2005;17;Menino;2022;Escola Pública;;579;32;11;3.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;9.2;7.0;7.5;4.6;Não atendido;7.0;6.0;8.0;;Não;Não;6.5;5;;-2;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-54;5;6.058;Ágata;;B;Aluno-54;2006;16;Menina;2022;Escola Pública;;716;45;14;3.0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;7.9;6.9;7.5;4.5;Não atendido;4.8;3.0;6.5;;Não;Não;6.1;5;;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-55;5;6.576;Ágata;Ametista;B;Aluno-55;2006;16;Menina;2017;Escola Pública;;634;38;12;3.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;7.1;7.6;5.6;4.9;Requer avaliação;7.5;6.7;7.8;7.9;Não;Não;6.5;5;;-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-56;5;8.404;Topázio;Topázio;B;Aluno-56;2007;15;Menina;2019;Rede Decisão;;46;7;1;3.0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;10.0;10.0;7.5;6.0;Sem limitações;7.0;4.5;6.5;10.0;Não;Não;8.2;10;;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-57;5;7.305;Ametista;Ametista;B;Aluno-57;2006;16;Menino;2017;Rede Decisão;;388;25;10;3.0;Avaliador-5;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;7.1;8.1;5.6;6.6;Requer avaliação;8.4;9.0;7.0;9.3;Não;Não;7.9;5;;-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
